metadata_field,canonical_name,confidence,count,n_snapshots,support,corpora_count,figure_count,table_count,source_snapshot_count,source_document_count,source_both_count,top_observed_values,n_unique_observed_values,top_description_values,top_reasoning_values
geographic_scope,geographic_scope,high,192,192,0.914285714,3,96,96,65,56,71,"['Lebanon', 'Djibouti', 'Uganda', 'Croatia', 'World / The World Region']",121,"['Country or geographic area to which the table applies.', 'The broad geographic region covered by the table.', 'Country or geographic area to which the table content applies.']","['Geographic scope is essential for country-level search, filtering, and comparison.', 'Geographic context is essential for discovery because it is not shown in the figure itself.', 'Geographic coverage is critical for country-based discovery and comparison.']"
unit_of_measure,unit_of_measure,high,180,180,0.857142857,3,98,82,180,0,0,"['Percent (%)', 'Percent', 'US$, Millions', 'US$', 'Kilometers; miles']",129,"['Measurement unit used for the plotted values.', 'Measurement unit used for the displayed values.', 'Measurement units used for reported indicators.']","['Units are essential for interpreting and reusing quantitative figure data.', 'Units are necessary to interpret and compare the numerical values correctly.', 'Units are essential for interpreting and comparing quantitative figures.']"
indicator_name,indicator_name,high,152,152,0.723809524,3,89,63,152,0,0,"['Adjustment functions', 'Forcibly displaced and returned persons', 'Monthly Price; Monthly Returns (% change)', 'Share of food expenditure in total expenditure p.c.', 'Enrollment by sex and grade; Percent of Grade 3 pupils who could not read a single word of a short text in Arabic']",140,"['Name of the measured concept or indicator represented in the figure.', 'The main quantitative measure represented in the figure.', 'Names of the indicators or measures reported in the table rows.']","['Indicator names are central for searching and reusing the quantitative content of the table.', 'Indicator-level metadata enables retrieval of figures by the specific economic or food-security measure shown.', 'Indicators are central to discovering the substantive data contained in figures.']"
time_period,time_period,high,149,149,0.70952381,3,86,63,142,4,3,"['2023', 'décembre 2023', 'Septembre 2023', '1994-2003', '2017; 2014 or the latest available']",109,"['Time period covered by the data in the snapshot.', 'Years or date ranges represented by the data values.', 'Time period covered by the reported data.']","['Time period enables temporal filtering and comparison across figures.', 'A data time period would be highly useful for comparison, but it is not visible in the figure.', 'Time period is critical for temporal filtering and analytical reuse.']"
row_dimension,row_dimension,high,102,102,0.485714286,3,16,86,102,0,0,"['Territoires', 'Region', 'Expenditure Category', 'Country of Asylum; Location name', 'Economic and financial indicators, including domestic prices, government finance, trade items, balance of payments items, debt categories, resource flows, and World Bank program items']",96,"['The conceptual dimension represented by the table rows.', 'Concept represented by the table rows.', 'The semantic dimension represented by the table rows.']","['Row dimension clarifies how the table is organized and what categories can be searched.', 'Row dimensions help describe how the table is structured conceptually and make tabular data more reusable.', 'Row dimensions expose the categorical structure needed to search and reuse the table data.']"
visualization_type,visualization_type,high,99,99,0.471428571,3,96,3,99,0,0,"['Multi-series line chart', 'Grouped bar chart', 'Pie chart', 'Vertical bar chart', 'Bar chart']",70,"['The analytical chart form used to present the data.', 'The chart form used to encode the data.', 'The chart form used to present the data.']","['Visualization type helps users understand how the data are structured and supports filtering by chart form.', 'Visualization type helps users identify figures suitable for time-series analysis.', 'Visualization type helps users understand whether the snapshot contains categorical comparisons, trends, or other data structures.']"
table_title,title,high,90,90,0.428571429,3,1,89,90,0,0,"['PROJECT FINANCING DATA (US$, Millions)', 'Violations et abus de droits en décembre 2023', 'Cost-Effectiveness Analysis Summary', 'Estimated Project Costs', 'Team']",76,"['The title or caption identifying the table content.', 'Title or heading that identifies the subject of the table.', 'The explicit title or caption identifying the table.']","['The title provides the primary semantic description needed for search and cataloging.', 'The title directly summarizes the analytical content and supports targeted retrieval of project cost-effectiveness tables.', 'The table title directly captures the table’s main analytical content for retrieval.']"
column_dimension,column_dimension,high,88,88,0.419047619,3,14,74,88,0,0,"['Year', 'Year columns: 1976, 1986, 1996, 1997', 'Population Group', 'Reporting period', 'Years: 1976, 1985, 1995, 1996']",80,"['The conceptual dimension represented by the table columns.', 'Concept represented by the table columns.', 'The semantic dimension represented by the table columns.']","['Column dimensions clarify whether values are organized by geography, benchmark group, or time.', 'Column dimension identifies the temporal structure of the tabular data.', 'Column dimensions clarify how values are grouped and compared within the table.']"
population_group,population_group,high,84,84,0.4,3,41,43,68,5,11,"['Refugees', 'Women; Men; Adolescent Boys; Adolescent Girls', 'Households', 'Pupils; Grade 3 pupils; male and female pupils', 'Refugees and asylum-seekers']",76,"['Population or subgroup to which the indicators apply.', 'Population group or demographic group represented by the data.', 'The population group measured or described by the table.']","['Population groups help users find figures about specific learners or demographic groups.', 'Population group captures the central subject of the map and supports thematic retrieval.', 'Population group metadata supports retrieval of tables about affected or served groups.']"
figure_title,title,high,84,84,0.4,3,81,3,84,0,0,"['Figure 2: Share of food expenditure in total expenditure p.c. (%)', 'Figure 2: Enrollment pyramid and share of illiterate pupils', 'شكل 1: مصادر القروض في الأردن (2013) / Figure 1: Sources of loans in Jordan (2013)', 'ANNEX 3: Map: Geographical distribution of the refugee population across Djibouti, including settlements and Djibouti.', ""Figure A3-2: Women's literacy rates in Sudan, 2014""]",83,"['Title or heading displayed with the figure.', ""The title or caption text identifying the figure's subject."", 'The title or caption identifying the figure and its subject.']","['The figure title provides the most direct searchable description of the snapshot content.', ""The title provides the primary searchable description of the figure's content."", 'The title provides the most direct semantic description for search and retrieval.']"
